date,year_quarter,quarter_number,financial_year,retailer,metric,customer_type,customer_group,jurisdiction,value
2018-01-01,2017-18 Q3,3,2017-18,1st Energy,Number,Electricity,Residential,National,11252
2018-01-01,2017-18 Q3,3,2017-18,AGL,Number,Electricity,Residential,National,1397526
2018-01-01,2017-18 Q3,3,2017-18,ActewAGL,Number,Electricity,Residential,National,181318
2018-01-01,2017-18 Q3,3,2017-18,Alinta Energy,Number,Electricity,Residential,National,171157
2018-01-01,2017-18 Q3,3,2017-18,Aurora Energy,Number,Electricity,Residential,National,240081
2018-01-01,2017-18 Q3,3,2017-18,Australian Power and Gas,Number,Electricity,Residential,National,0
2018-01-01,2017-18 Q3,3,2017-18,Blue NRG,Number,Electricity,Residential,National,1
2018-01-01,2017-18 Q3,3,2017-18,CovaU,Number,Electricity,Residential,National,3206
2018-01-01,2017-18 Q3,3,2017-18,Diamond Energy,Number,Electricity,Residential,National,10361
2018-01-01,2017-18 Q3,3,2017-18,Discover Energy,Number,Electricity,Residential,National,0
2018-01-01,2017-18 Q3,3,2017-18,Dodo,Number,Electricity,Residential,National,51351
2018-01-01,2017-18 Q3,3,2017-18,ERM Power,Number,Electricity,Residential,National,3769
2018-01-01,2017-18 Q3,3,2017-18,Energy Locals,Number,Electricity,Residential,National,4343
2018-01-01,2017-18 Q3,3,2017-18,EnergyAustralia,Number,Electricity,Residential,National,1075606
2018-01-01,2017-18 Q3,3,2017-18,Enova Energy,Number,Electricity,Residential,National,3691
2018-01-01,2017-18 Q3,3,2017-18,Enwave Mascot,Number,Electricity,Residential,National,0
2018-01-01,2017-18 Q3,3,2017-18,Ergon Energy,Number,Electricity,Residential,National,608566
2018-01-01,2017-18 Q3,3,2017-18,Evergy,Number,Electricity,Residential,National,0
2018-01-01,2017-18 Q3,3,2017-18,Flow Systems,Number,Electricity,Residential,National,0
2018-01-01,2017-18 Q3,3,2017-18,GoEnergy,Number,Electricity,Residential,National,0
2018-01-01,2017-18 Q3,3,2017-18,Locality Planning Energy,Number,Electricity,Residential,National,13249
2018-01-01,2017-18 Q3,3,2017-18,Lumo Energy,Number,Electricity,Residential,National,37546
2018-01-01,2017-18 Q3,3,2017-18,Metered Energy,Number,Electricity,Residential,National,11143
2018-01-01,2017-18 Q3,3,2017-18,Mojo Power,Number,Electricity,Residential,National,4272
2018-01-01,2017-18 Q3,3,2017-18,Momentum Energy,Number,Electricity,Residential,National,10261
2018-01-01,2017-18 Q3,3,2017-18,National Total,Number,Electricity,Residential,National,6261198
2018-01-01,2017-18 Q3,3,2017-18,Next Business Energy,Number,Electricity,Residential,National,149
2018-01-01,2017-18 Q3,3,2017-18,OC Energy,Number,Electricity,Residential,National,3486
2018-01-01,2017-18 Q3,3,2017-18,Origin Energy,Number,Electricity,Residential,National,1874378
2018-01-01,2017-18 Q3,3,2017-18,People Energy,Number,Electricity,Residential,National,598
2018-01-01,2017-18 Q3,3,2017-18,Pooled Energy,Number,Electricity,Residential,National,446
2018-01-01,2017-18 Q3,3,2017-18,Power Club,Number,Electricity,Residential,National,0
2018-01-01,2017-18 Q3,3,2017-18,PowerHub,Number,Electricity,Residential,National,0
2018-01-01,2017-18 Q3,3,2017-18,Powerdirect,Number,Electricity,Residential,National,36826
2018-01-01,2017-18 Q3,3,2017-18,Powershop,Number,Electricity,Residential,National,35284
2018-01-01,2017-18 Q3,3,2017-18,Qenergy,Number,Electricity,Residential,National,3791
2018-01-01,2017-18 Q3,3,2017-18,ReAmped Energy,Number,Electricity,Residential,National,0
2018-01-01,2017-18 Q3,3,2017-18,Real Utilities,Number,Electricity,Residential,National,0
2018-01-01,2017-18 Q3,3,2017-18,Red Energy,Number,Electricity,Residential,National,241960
2018-01-01,2017-18 Q3,3,2017-18,Sanctuary Energy,Number,Electricity,Residential,National,3423
2018-01-01,2017-18 Q3,3,2017-18,Savant Energy,Number,Electricity,Residential,National,1748
2018-01-01,2017-18 Q3,3,2017-18,Simply Energy,Number,Electricity,Residential,National,126260
2018-01-01,2017-18 Q3,3,2017-18,Sumo Power,Number,Electricity,Residential,National,0
2018-01-01,2017-18 Q3,3,2017-18,Sun Retail,Number,Electricity,Residential,National,0
2018-01-01,2017-18 Q3,3,2017-18,Tango Energy,Number,Electricity,Residential,National,21
2018-01-01,2017-18 Q3,3,2017-18,The Embedded Networks Company,Number,Electricity,Residential,National,0
2018-01-01,2017-18 Q3,3,2017-18,Urth Energy,Number,Electricity,Residential,National,0
2018-01-01,2017-18 Q3,3,2017-18,Winenergy,Number,Electricity,Residential,National,597
2018-01-01,2017-18 Q3,3,2017-18,amaysim Energy,Number,Electricity,Residential,National,97301
2018-04-01,2017-18 Q4,4,2017-18,1st Energy,Number,Electricity,Residential,National,13118
2018-04-01,2017-18 Q4,4,2017-18,AGL,Number,Electricity,Residential,National,1378777
2018-04-01,2017-18 Q4,4,2017-18,ActewAGL,Number,Electricity,Residential,National,180579
2018-04-01,2017-18 Q4,4,2017-18,Alinta Energy,Number,Electricity,Residential,National,240936
2018-04-01,2017-18 Q4,4,2017-18,Aurora Energy,Number,Electricity,Residential,National,241125
2018-04-01,2017-18 Q4,4,2017-18,Australian Power and Gas,Number,Electricity,Residential,National,0
2018-04-01,2017-18 Q4,4,2017-18,Blue NRG,Number,Electricity,Residential,National,0
2018-04-01,2017-18 Q4,4,2017-18,CovaU,Number,Electricity,Residential,National,3307
2018-04-01,2017-18 Q4,4,2017-18,Diamond Energy,Number,Electricity,Residential,National,10158
2018-04-01,2017-18 Q4,4,2017-18,Discover Energy,Number,Electricity,Residential,National,0
2018-04-01,2017-18 Q4,4,2017-18,Dodo,Number,Electricity,Residential,National,49269
2018-04-01,2017-18 Q4,4,2017-18,ERM Power,Number,Electricity,Residential,National,3738
2018-04-01,2017-18 Q4,4,2017-18,Energy Locals,Number,Electricity,Residential,National,5084
2018-04-01,2017-18 Q4,4,2017-18,EnergyAustralia,Number,Electricity,Residential,National,1062092
2018-04-01,2017-18 Q4,4,2017-18,Enova Energy,Number,Electricity,Residential,National,4144
2018-04-01,2017-18 Q4,4,2017-18,Enwave Mascot,Number,Electricity,Residential,National,0
2018-04-01,2017-18 Q4,4,2017-18,Ergon Energy,Number,Electricity,Residential,National,613300
2018-04-01,2017-18 Q4,4,2017-18,Evergy,Number,Electricity,Residential,National,0
2018-04-01,2017-18 Q4,4,2017-18,Flow Systems,Number,Electricity,Residential,National,244
2018-04-01,2017-18 Q4,4,2017-18,Future X Power,Number,Electricity,Residential,National,0
2018-04-01,2017-18 Q4,4,2017-18,GoEnergy,Number,Electricity,Residential,National,0
2018-04-01,2017-18 Q4,4,2017-18,Locality Planning Energy,Number,Electricity,Residential,National,15120
2018-04-01,2017-18 Q4,4,2017-18,Lumo Energy,Number,Electricity,Residential,National,35082
2018-04-01,2017-18 Q4,4,2017-18,Metered Energy,Number,Electricity,Residential,National,11598
2018-04-01,2017-18 Q4,4,2017-18,Mojo Power,Number,Electricity,Residential,National,3787
2018-04-01,2017-18 Q4,4,2017-18,Momentum Energy,Number,Electricity,Residential,National,9444
2018-04-01,2017-18 Q4,4,2017-18,National Total,Number,Electricity,Residential,National,6303957
2018-04-01,2017-18 Q4,4,2017-18,Next Business Energy,Number,Electricity,Residential,National,141
2018-04-01,2017-18 Q4,4,2017-18,OC Energy,Number,Electricity,Residential,National,4062
2018-04-01,2017-18 Q4,4,2017-18,Origin Energy,Number,Electricity,Residential,National,1869626
2018-04-01,2017-18 Q4,4,2017-18,People Energy,Number,Electricity,Residential,National,569
2018-04-01,2017-18 Q4,4,2017-18,Pooled Energy,Number,Electricity,Residential,National,518
2018-04-01,2017-18 Q4,4,2017-18,Power Club,Number,Electricity,Residential,National,0
2018-04-01,2017-18 Q4,4,2017-18,PowerHub,Number,Electricity,Residential,National,0
2018-04-01,2017-18 Q4,4,2017-18,Powerdirect,Number,Electricity,Residential,National,35748
2018-04-01,2017-18 Q4,4,2017-18,Powershop,Number,Electricity,Residential,National,34748
2018-04-01,2017-18 Q4,4,2017-18,Qenergy,Number,Electricity,Residential,National,4396
2018-04-01,2017-18 Q4,4,2017-18,ReAmped Energy,Number,Electricity,Residential,National,0
2018-04-01,2017-18 Q4,4,2017-18,Real Utilities,Number,Electricity,Residential,National,363
2018-04-01,2017-18 Q4,4,2017-18,Red Energy,Number,Electricity,Residential,National,248176
2018-04-01,2017-18 Q4,4,2017-18,Sanctuary Energy,Number,Electricity,Residential,National,3393
2018-04-01,2017-18 Q4,4,2017-18,Savant Energy,Number,Electricity,Residential,National,1781
2018-04-01,2017-18 Q4,4,2017-18,Simply Energy,Number,Electricity,Residential,National,125240
2018-04-01,2017-18 Q4,4,2017-18,Sumo Power,Number,Electricity,Residential,National,0
2018-04-01,2017-18 Q4,4,2017-18,Sun Retail,Number,Electricity,Residential,National,0
2018-04-01,2017-18 Q4,4,2017-18,Tango Energy,Number,Electricity,Residential,National,21
2018-04-01,2017-18 Q4,4,2017-18,The Embedded Networks Company,Number,Electricity,Residential,National,0
2018-04-01,2017-18 Q4,4,2017-18,Urth Energy,Number,Electricity,Residential,National,0
2018-04-01,2017-18 Q4,4,2017-18,Winenergy,Number,Electricity,Residential,National,813
2018-04-01,2017-18 Q4,4,2017-18,amaysim Energy,Number,Electricity,Residential,National,97198
2018-07-01,2018-19 Q1,1,2018-19,1st Energy,Number,Electricity,Residential,National,14757
2018-07-01,2018-19 Q1,1,2018-19,AGL,Number,Electricity,Residential,National,1375803
2018-07-01,2018-19 Q1,1,2018-19,ActewAGL,Number,Electricity,Residential,National,178744
2018-07-01,2018-19 Q1,1,2018-19,Alinta Energy,Number,Electricity,Residential,National,267474
2018-07-01,2018-19 Q1,1,2018-19,Arc Energy,Number,Electricity,Residential,National,0
2018-07-01,2018-19 Q1,1,2018-19,Aurora Energy,Number,Electricity,Residential,National,242198
2018-07-01,2018-19 Q1,1,2018-19,Australian Power and Gas,Number,Electricity,Residential,National,0
2018-07-01,2018-19 Q1,1,2018-19,Blue NRG,Number,Electricity,Residential,National,0
2018-07-01,2018-19 Q1,1,2018-19,CleanPeak Energy,Number,Electricity,Residential,National,0
2018-07-01,2018-19 Q1,1,2018-19,CovaU,Number,Electricity,Residential,National,3390
2018-07-01,2018-19 Q1,1,2018-19,Diamond Energy,Number,Electricity,Residential,National,9996
2018-07-01,2018-19 Q1,1,2018-19,Discover Energy,Number,Electricity,Residential,National,1
2018-07-01,2018-19 Q1,1,2018-19,Dodo,Number,Electricity,Residential,National,47726
2018-07-01,2018-19 Q1,1,2018-19,ERM Power,Number,Electricity,Residential,National,635
2018-07-01,2018-19 Q1,1,2018-19,Elysian Energy,Number,Electricity,Residential,National,0
2018-07-01,2018-19 Q1,1,2018-19,Energy Locals,Number,Electricity,Residential,National,5576
2018-07-01,2018-19 Q1,1,2018-19,EnergyAustralia,Number,Electricity,Residential,National,1067221
2018-07-01,2018-19 Q1,1,2018-19,Enova Energy,Number,Electricity,Residential,National,4561
2018-07-01,2018-19 Q1,1,2018-19,Enwave Mascot,Number,Electricity,Residential,National,0
2018-07-01,2018-19 Q1,1,2018-19,Ergon Energy,Number,Electricity,Residential,National,611879
2018-07-01,2018-19 Q1,1,2018-19,Evergy,Number,Electricity,Residential,National,124
2018-07-01,2018-19 Q1,1,2018-19,Flow Systems,Number,Electricity,Residential,National,523
2018-07-01,2018-19 Q1,1,2018-19,Future X Power,Number,Electricity,Residential,National,0
2018-07-01,2018-19 Q1,1,2018-19,GloBird Energy,Number,Electricity,Residential,National,0
2018-07-01,2018-19 Q1,1,2018-19,GoEnergy,Number,Electricity,Residential,National,0
2018-07-01,2018-19 Q1,1,2018-19,Locality Planning Energy,Number,Electricity,Residential,National,16448
2018-07-01,2018-19 Q1,1,2018-19,Lumo Energy,Number,Electricity,Residential,National,34500
2018-07-01,2018-19 Q1,1,2018-19,Metered Energy,Number,Electricity,Residential,National,12262
2018-07-01,2018-19 Q1,1,2018-19,Mojo Power,Number,Electricity,Residential,National,3384
2018-07-01,2018-19 Q1,1,2018-19,Momentum Energy,Number,Electricity,Residential,National,9496
2018-07-01,2018-19 Q1,1,2018-19,National Total,Number,Electricity,Residential,National,6338086
2018-07-01,2018-19 Q1,1,2018-19,Next Business Energy,Number,Electricity,Residential,National,126
2018-07-01,2018-19 Q1,1,2018-19,OC Energy,Number,Electricity,Residential,National,4804
2018-07-01,2018-19 Q1,1,2018-19,Origin Energy,Number,Electricity,Residential,National,1860728
2018-07-01,2018-19 Q1,1,2018-19,People Energy,Number,Electricity,Residential,National,542
2018-07-01,2018-19 Q1,1,2018-19,Pooled Energy,Number,Electricity,Residential,National,652
2018-07-01,2018-19 Q1,1,2018-19,Power Club,Number,Electricity,Residential,National,0
2018-07-01,2018-19 Q1,1,2018-19,PowerHub,Number,Electricity,Residential,National,0
2018-07-01,2018-19 Q1,1,2018-19,Powerdirect,Number,Electricity,Residential,National,40507
2018-07-01,2018-19 Q1,1,2018-19,Powershop,Number,Electricity,Residential,National,36663
2018-07-01,2018-19 Q1,1,2018-19,Qenergy,Number,Electricity,Residential,National,5728
2018-07-01,2018-19 Q1,1,2018-19,ReAmped Energy,Number,Electricity,Residential,National,5
2018-07-01,2018-19 Q1,1,2018-19,Real Utilities,Number,Electricity,Residential,National,394
2018-07-01,2018-19 Q1,1,2018-19,Red Energy,Number,Electricity,Residential,National,255211
2018-07-01,2018-19 Q1,1,2018-19,Sanctuary Energy,Number,Electricity,Residential,National,2863
2018-07-01,2018-19 Q1,1,2018-19,Savant Energy,Number,Electricity,Residential,National,1897
2018-07-01,2018-19 Q1,1,2018-19,Simply Energy,Number,Electricity,Residential,National,124922
2018-07-01,2018-19 Q1,1,2018-19,Sumo Power,Number,Electricity,Residential,National,25
2018-07-01,2018-19 Q1,1,2018-19,Sun Retail,Number,Electricity,Residential,National,0
2018-07-01,2018-19 Q1,1,2018-19,Sustainable Saving,Number,Electricity,Residential,National,0
2018-07-01,2018-19 Q1,1,2018-19,Tango Energy,Number,Electricity,Residential,National,20
2018-07-01,2018-19 Q1,1,2018-19,The Embedded Networks Company,Number,Electricity,Residential,National,0
2018-07-01,2018-19 Q1,1,2018-19,Urth Energy,Number,Electricity,Residential,National,0
2018-07-01,2018-19 Q1,1,2018-19,Winenergy,Number,Electricity,Residential,National,953
2018-07-01,2018-19 Q1,1,2018-19,amaysim Energy,Number,Electricity,Residential,National,95983
2018-10-01,2018-19 Q2,2,2018-19,1st Energy,Number,Electricity,Residential,National,14716
2018-10-01,2018-19 Q2,2,2018-19,AGL,Number,Electricity,Residential,National,1373750
2018-10-01,2018-19 Q2,2,2018-19,ActewAGL,Number,Electricity,Residential,National,175714
2018-10-01,2018-19 Q2,2,2018-19,Alinta Energy,Number,Electricity,Residential,National,290734
2018-10-01,2018-19 Q2,2,2018-19,Arc Energy,Number,Electricity,Residential,National,0
2018-10-01,2018-19 Q2,2,2018-19,Aurora Energy,Number,Electricity,Residential,National,242752
2018-10-01,2018-19 Q2,2,2018-19,Australian Power and Gas,Number,Electricity,Residential,National,0
2018-10-01,2018-19 Q2,2,2018-19,Blue NRG,Number,Electricity,Residential,National,0
2018-10-01,2018-19 Q2,2,2018-19,CleanPeak Energy,Number,Electricity,Residential,National,0
2018-10-01,2018-19 Q2,2,2018-19,CovaU,Number,Electricity,Residential,National,3545
2018-10-01,2018-19 Q2,2,2018-19,Diamond Energy,Number,Electricity,Residential,National,10061
2018-10-01,2018-19 Q2,2,2018-19,Discover Energy,Number,Electricity,Residential,National,2
2018-10-01,2018-19 Q2,2,2018-19,Dodo,Number,Electricity,Residential,National,46949
2018-10-01,2018-19 Q2,2,2018-19,ERM Power,Number,Electricity,Residential,National,620
2018-10-01,2018-19 Q2,2,2018-19,Elysian Energy,Number,Electricity,Residential,National,0
2018-10-01,2018-19 Q2,2,2018-19,Energy Locals,Number,Electricity,Residential,National,6345
2018-10-01,2018-19 Q2,2,2018-19,EnergyAustralia,Number,Electricity,Residential,National,1075326
2018-10-01,2018-19 Q2,2,2018-19,Enova Energy,Number,Electricity,Residential,National,4561
2018-10-01,2018-19 Q2,2,2018-19,Enwave Mascot,Number,Electricity,Residential,National,0
2018-10-01,2018-19 Q2,2,2018-19,Ergon Energy,Number,Electricity,Residential,National,614172
2018-10-01,2018-19 Q2,2,2018-19,Evergy,Number,Electricity,Residential,National,400
2018-10-01,2018-19 Q2,2,2018-19,Flow Systems,Number,Electricity,Residential,National,2219
2018-10-01,2018-19 Q2,2,2018-19,Future X Power,Number,Electricity,Residential,National,0
2018-10-01,2018-19 Q2,2,2018-19,GloBird Energy,Number,Electricity,Residential,National,0
2018-10-01,2018-19 Q2,2,2018-19,GoEnergy,Number,Electricity,Residential,National,0
2018-10-01,2018-19 Q2,2,2018-19,Hanwha Energy,Number,Electricity,Residential,National,0
2018-10-01,2018-19 Q2,2,2018-19,Locality Planning Energy,Number,Electricity,Residential,National,18115
2018-10-01,2018-19 Q2,2,2018-19,Lumo Energy,Number,Electricity,Residential,National,34903
2018-10-01,2018-19 Q2,2,2018-19,Metered Energy,Number,Electricity,Residential,National,12628
2018-10-01,2018-19 Q2,2,2018-19,Mojo Power,Number,Electricity,Residential,National,3054
2018-10-01,2018-19 Q2,2,2018-19,Momentum Energy,Number,Electricity,Residential,National,11352
2018-10-01,2018-19 Q2,2,2018-19,National Total,Number,Electricity,Residential,National,6368987
2018-10-01,2018-19 Q2,2,2018-19,Next Business Energy,Number,Electricity,Residential,National,126
2018-10-01,2018-19 Q2,2,2018-19,OC Energy,Number,Electricity,Residential,National,5739
2018-10-01,2018-19 Q2,2,2018-19,OVO Energy,Number,Electricity,Residential,National,0
2018-10-01,2018-19 Q2,2,2018-19,Origin Energy,Number,Electricity,Residential,National,1844710
2018-10-01,2018-19 Q2,2,2018-19,People Energy,Number,Electricity,Residential,National,524
2018-10-01,2018-19 Q2,2,2018-19,Pooled Energy,Number,Electricity,Residential,National,854
2018-10-01,2018-19 Q2,2,2018-19,Power Club,Number,Electricity,Residential,National,5
2018-10-01,2018-19 Q2,2,2018-19,PowerHub,Number,Electricity,Residential,National,38
2018-10-01,2018-19 Q2,2,2018-19,Powerdirect,Number,Electricity,Residential,National,44714
2018-10-01,2018-19 Q2,2,2018-19,Powershop,Number,Electricity,Residential,National,35636
2018-10-01,2018-19 Q2,2,2018-19,Qenergy,Number,Electricity,Residential,National,6196
2018-10-01,2018-19 Q2,2,2018-19,ReAmped Energy,Number,Electricity,Residential,National,20
2018-10-01,2018-19 Q2,2,2018-19,Real Utilities,Number,Electricity,Residential,National,523
2018-10-01,2018-19 Q2,2,2018-19,Red Energy,Number,Electricity,Residential,National,261198
2018-10-01,2018-19 Q2,2,2018-19,Sanctuary Energy,Number,Electricity,Residential,National,2896
2018-10-01,2018-19 Q2,2,2018-19,Savant Energy,Number,Electricity,Residential,National,2073
2018-10-01,2018-19 Q2,2,2018-19,Simply Energy,Number,Electricity,Residential,National,124783
2018-10-01,2018-19 Q2,2,2018-19,Sumo Power,Number,Electricity,Residential,National,1942
2018-10-01,2018-19 Q2,2,2018-19,Sun Retail,Number,Electricity,Residential,National,0
2018-10-01,2018-19 Q2,2,2018-19,Sustainable Saving,Number,Electricity,Residential,National,0
2018-10-01,2018-19 Q2,2,2018-19,Tango Energy,Number,Electricity,Residential,National,15
2018-10-01,2018-19 Q2,2,2018-19,Tas Gas,Number,Electricity,Residential,National,0
2018-10-01,2018-19 Q2,2,2018-19,The Embedded Networks Company,Number,Electricity,Residential,National,0
2018-10-01,2018-19 Q2,2,2018-19,Urth Energy,Number,Electricity,Residential,National,0
2018-10-01,2018-19 Q2,2,2018-19,Winenergy,Number,Electricity,Residential,National,1349
2018-10-01,2018-19 Q2,2,2018-19,amaysim Energy,Number,Electricity,Residential,National,94348
2019-01-01,2018-19 Q3,3,2018-19,1st Energy,Number,Electricity,Residential,National,13760
2019-01-01,2018-19 Q3,3,2018-19,AGL,Number,Electricity,Residential,National,1381988
2019-01-01,2018-19 Q3,3,2018-19,ActewAGL,Number,Electricity,Residential,National,173678
2019-01-01,2018-19 Q3,3,2018-19,Alinta Energy,Number,Electricity,Residential,National,299992
2019-01-01,2018-19 Q3,3,2018-19,Arc Energy,Number,Electricity,Residential,National,0
2019-01-01,2018-19 Q3,3,2018-19,Aurora Energy,Number,Electricity,Residential,National,243938
2019-01-01,2018-19 Q3,3,2018-19,Australian Power and Gas,Number,Electricity,Residential,National,0
2019-01-01,2018-19 Q3,3,2018-19,Blue NRG,Number,Electricity,Residential,National,0
2019-01-01,2018-19 Q3,3,2018-19,Bright Spark Power,Number,Electricity,Residential,National,0
2019-01-01,2018-19 Q3,3,2018-19,CleanPeak Energy,Number,Electricity,Residential,National,0
2019-01-01,2018-19 Q3,3,2018-19,CovaU,Number,Electricity,Residential,National,3639
2019-01-01,2018-19 Q3,3,2018-19,Diamond Energy,Number,Electricity,Residential,National,10101
2019-01-01,2018-19 Q3,3,2018-19,Discover Energy,Number,Electricity,Residential,National,2
2019-01-01,2018-19 Q3,3,2018-19,Dodo,Number,Electricity,Residential,National,48095
2019-01-01,2018-19 Q3,3,2018-19,ERM Power,Number,Electricity,Residential,National,3020
2019-01-01,2018-19 Q3,3,2018-19,Elysian Energy,Number,Electricity,Residential,National,0
2019-01-01,2018-19 Q3,3,2018-19,Energy Locals,Number,Electricity,Residential,National,7804
2019-01-01,2018-19 Q3,3,2018-19,EnergyAustralia,Number,Electricity,Residential,National,1051685
2019-01-01,2018-19 Q3,3,2018-19,Enova Energy,Number,Electricity,Residential,National,5217
2019-01-01,2018-19 Q3,3,2018-19,Enwave Mascot,Number,Electricity,Residential,National,0
2019-01-01,2018-19 Q3,3,2018-19,Ergon Energy,Number,Electricity,Residential,National,613919
2019-01-01,2018-19 Q3,3,2018-19,Evergy,Number,Electricity,Residential,National,601
2019-01-01,2018-19 Q3,3,2018-19,Flow Systems,Number,Electricity,Residential,National,2453
2019-01-01,2018-19 Q3,3,2018-19,Future X Power,Number,Electricity,Residential,National,0
2019-01-01,2018-19 Q3,3,2018-19,GloBird Energy,Number,Electricity,Residential,National,0
2019-01-01,2018-19 Q3,3,2018-19,GoEnergy,Number,Electricity,Residential,National,0
2019-01-01,2018-19 Q3,3,2018-19,Hanwha Energy,Number,Electricity,Residential,National,0
2019-01-01,2018-19 Q3,3,2018-19,Humenergy,Number,Electricity,Residential,National,0
2019-01-01,2018-19 Q3,3,2018-19,Infigen Energy,Number,Electricity,Residential,National,0
2019-01-01,2018-19 Q3,3,2018-19,Locality Planning Energy,Number,Electricity,Residential,National,18671
2019-01-01,2018-19 Q3,3,2018-19,Lumo Energy,Number,Electricity,Residential,National,35939
2019-01-01,2018-19 Q3,3,2018-19,Metered Energy,Number,Electricity,Residential,National,12922
2019-01-01,2018-19 Q3,3,2018-19,Mojo Power,Number,Electricity,Residential,National,2786
2019-01-01,2018-19 Q3,3,2018-19,Momentum Energy,Number,Electricity,Residential,National,15178
2019-01-01,2018-19 Q3,3,2018-19,National Total,Number,Electricity,Residential,National,6379623
2019-01-01,2018-19 Q3,3,2018-19,Nectr Energy,Number,Electricity,Residential,National,0
2019-01-01,2018-19 Q3,3,2018-19,Next Business Energy,Number,Electricity,Residential,National,102
2019-01-01,2018-19 Q3,3,2018-19,OC Energy,Number,Electricity,Residential,National,6284
2019-01-01,2018-19 Q3,3,2018-19,OVO Energy,Number,Electricity,Residential,National,0
2019-01-01,2018-19 Q3,3,2018-19,Origin Energy,Number,Electricity,Residential,National,1832373
2019-01-01,2018-19 Q3,3,2018-19,People Energy,Number,Electricity,Residential,National,510
2019-01-01,2018-19 Q3,3,2018-19,Pooled Energy,Number,Electricity,Residential,National,1110
2019-01-01,2018-19 Q3,3,2018-19,Power Club,Number,Electricity,Residential,National,7
2019-01-01,2018-19 Q3,3,2018-19,PowerHub,Number,Electricity,Residential,National,40
2019-01-01,2018-19 Q3,3,2018-19,Powerdirect,Number,Electricity,Residential,National,46969
2019-01-01,2018-19 Q3,3,2018-19,Powershop,Number,Electricity,Residential,National,37520
2019-01-01,2018-19 Q3,3,2018-19,Qenergy,Number,Electricity,Residential,National,5912
2019-01-01,2018-19 Q3,3,2018-19,ReAmped Energy,Number,Electricity,Residential,National,397
2019-01-01,2018-19 Q3,3,2018-19,ReNu Energy,Number,Electricity,Residential,National,0
2019-01-01,2018-19 Q3,3,2018-19,Real Utilities,Number,Electricity,Residential,National,510
2019-01-01,2018-19 Q3,3,2018-19,Red Energy,Number,Electricity,Residential,National,271879
2019-01-01,2018-19 Q3,3,2018-19,SIMEC ZEN Energy,Number,Electricity,Residential,National,0
2019-01-01,2018-19 Q3,3,2018-19,Sanctuary Energy,Number,Electricity,Residential,National,2387
2019-01-01,2018-19 Q3,3,2018-19,Savant Energy,Number,Electricity,Residential,National,2465
2019-01-01,2018-19 Q3,3,2018-19,Simply Energy,Number,Electricity,Residential,National,125678
2019-01-01,2018-19 Q3,3,2018-19,Sumo Power,Number,Electricity,Residential,National,5264
2019-01-01,2018-19 Q3,3,2018-19,Sun Retail,Number,Electricity,Residential,National,79134
2019-01-01,2018-19 Q3,3,2018-19,Sustainable Saving,Number,Electricity,Residential,National,0
2019-01-01,2018-19 Q3,3,2018-19,Tango Energy,Number,Electricity,Residential,National,39
2019-01-01,2018-19 Q3,3,2018-19,Tas Gas,Number,Electricity,Residential,National,0
2019-01-01,2018-19 Q3,3,2018-19,The Embedded Networks Company,Number,Electricity,Residential,National,4
2019-01-01,2018-19 Q3,3,2018-19,Urth Energy,Number,Electricity,Residential,National,0
2019-01-01,2018-19 Q3,3,2018-19,Winenergy,Number,Electricity,Residential,National,1532
2019-01-01,2018-19 Q3,3,2018-19,amaysim Energy,Number,Electricity,Residential,National,96273
2019-04-01,2018-19 Q4,4,2018-19,1st Energy,Number,Electricity,Residential,National,14019
2019-04-01,2018-19 Q4,4,2018-19,AGL,Number,Electricity,Residential,National,1376845
2019-04-01,2018-19 Q4,4,2018-19,ActewAGL,Number,Electricity,Residential,National,171311
2019-04-01,2018-19 Q4,4,2018-19,Alinta Energy,Number,Electricity,Residential,National,316582
2019-04-01,2018-19 Q4,4,2018-19,Arc Energy,Number,Electricity,Residential,National,0
2019-04-01,2018-19 Q4,4,2018-19,Aurora Energy,Number,Electricity,Residential,National,244488
2019-04-01,2018-19 Q4,4,2018-19,Blue NRG,Number,Electricity,Residential,National,0
2019-04-01,2018-19 Q4,4,2018-19,Bright Spark Power,Number,Electricity,Residential,National,0
2019-04-01,2018-19 Q4,4,2018-19,CleanPeak Energy,Number,Electricity,Residential,National,0
2019-04-01,2018-19 Q4,4,2018-19,CovaU,Number,Electricity,Residential,National,3698
2019-04-01,2018-19 Q4,4,2018-19,Diamond Energy,Number,Electricity,Residential,National,9646
2019-04-01,2018-19 Q4,4,2018-19,Discover Energy,Number,Electricity,Residential,National,14
2019-04-01,2018-19 Q4,4,2018-19,Dodo,Number,Electricity,Residential,National,46964
2019-04-01,2018-19 Q4,4,2018-19,ERM Power,Number,Electricity,Residential,National,2319
2019-04-01,2018-19 Q4,4,2018-19,Elysian Energy,Number,Electricity,Residential,National,0
2019-04-01,2018-19 Q4,4,2018-19,Energy Locals,Number,Electricity,Residential,National,14715
2019-04-01,2018-19 Q4,4,2018-19,EnergyAustralia,Number,Electricity,Residential,National,1059276
2019-04-01,2018-19 Q4,4,2018-19,Enova Energy,Number,Electricity,Residential,National,5451
2019-04-01,2018-19 Q4,4,2018-19,Enwave Mascot,Number,Electricity,Residential,National,0
2019-04-01,2018-19 Q4,4,2018-19,Ergon Energy,Number,Electricity,Residential,National,617542
2019-04-01,2018-19 Q4,4,2018-19,Evergy,Number,Electricity,Residential,National,603
2019-04-01,2018-19 Q4,4,2018-19,Flow Systems,Number,Electricity,Residential,National,3374
